iso3c	country	region	schooling	births
LBY	Libyan Arab Jamahiriya	Middle East and North Africa	10.593	2.711
NAM	Namibia	Sub-Saharan Africa	7.234	3.604
BLZ	Belize	Latin America and the Caribbean	11.33	2.433
BRN	Brunei Darussalam	East Asia and the Pacific	9.134	1.947
BGR	Bulgaria	Europe and Central Asia	11.333	1.64
CZE	Czech Republic	Europe and Central Asia	12.945	1.57
ROU	Romania	Europe and Central Asia	11.371	1.62
RUS	Russian Federation	Europe and Central Asia	12.132	1.777
CUB	Cuba	Latin America and the Caribbean	11.299	1.685
ALB	Albania	Europe and Central Asia	10.822	1.631
SVK	Slovakia	Europe and Central Asia	12.128	1.4
DEU	Germany	Advanced Economies	12.203	1.5
ARM	Armenia	Europe and Central Asia	11.884	1.6
KHM	Cambodia	East Asia and the Pacific	4.207	2.729
KAZ	Kazakhstan	Europe and Central Asia	11.478	2.755
KGZ	Kyrgyzstan	Europe and Central Asia	11.107	3.2
LAO	Lao People's Democratic Republic	East Asia and the Pacific	5.965	2.796
MDV	Maldives	South Asia	7.297	2.004
MNG	Mongolia	East Asia and the Pacific	10.171	3
QAT	Qatar	Middle East and North Africa	10.775	1.976
TJK	Tajikistan	Europe and Central Asia	10.658	3.459
VNM	Viet Nam	East Asia and the Pacific	7.45	2.1
HRV	Croatia	Europe and Central Asia	12.01	1.41
EST	Estonia	Europe and Central Asia	12.792	1.58
LVA	Latvia	Europe and Central Asia	12.098	1.7
LTU	Lithuania	Europe and Central Asia	12.01	1.63
MDA	Republic of Moldova	Europe and Central Asia	11.339	1.87
SRB	Serbia	Europe and Central Asia	11.622	1.46
SVN	Slovenia	Europe and Central Asia	12.333	1.57
MAC	China, Macao Special Administrative Region	East Asia and the Pacific	9.674	1.142
UKR	Ukraine	Europe and Central Asia	11.735	1.387
